INDEX;OPSNAME;REGION;CITY
115201;МОСКВА 201;МОСКВА;
115211;МОСКВА 211;МОСКВА;
115225;МОСКВА 225;МОСКВА;
115230;МОСКВА 230;МОСКВА;
115280;МОСКВА 280;МОСКВА;
115304;МОСКВА 304;МОСКВА;
115324;МОСКВА 324;МОСКВА;
115326;МОСКВА 326;МОСКВА;
115372;МОСКВА 372;МОСКВА;
115404;МОСКВА 404;МОСКВА;
115407;МОСКВА 407;МОСКВА;
115408;МОСКВА 408;МОСКВА;
115409;МОСКВА 409;МОСКВА;
115419;МОСКВА 419;МОСКВА;
115432;МОСКВА 432;МОСКВА;
115446;МОСКВА 446;МОСКВА;
115455;МОСКВА 455;МОСКВА;
115470;МОСКВА 470;МОСКВА;
115477;МОСКВА 477;МОСКВА;
115478;МОСКВА 478;МОСКВА;
115487;МОСКВА 487;МОСКВА;
115516;МОСКВА 516;МОСКВА;
115522;МОСКВА 522;МОСКВА;
115533;МОСКВА 533;МОСКВА;
115547;МОСКВА 547;МОСКВА;
115551;МОСКВА 551;МОСКВА;
115561;МОСКВА 561;МОСКВА;
115563;МОСКВА 563;МОСКВА;
115569;МОСКВА 569;МОСКВА;
115573;МОСКВА 573;МОСКВА;
115580;МОСКВА 580;МОСКВА;
115582;МОСКВА 582;МОСКВА;
115583;МОСКВА 583;МОСКВА;
115597;МОСКВА 597;МОСКВА;
115598;МОСКВА 598;МОСКВА;
115612;МОСКВА 612;МОСКВА;
115682;МОСКВА 682;МОСКВА;
115976;МОСКВА МРП-7 УЧ. ТАРЫ;МОСКВА;
117036;МОСКВА 36;МОСКВА;
117041;МОСКВА 41;МОСКВА;
117042;МОСКВА 42;МОСКВА;
117105;МОСКВА 105;МОСКВА;
117133;МОСКВА 133;МОСКВА;
117148;МОСКВА 148;МОСКВА;
117149;МОСКВА 149;МОСКВА;
117152;МОСКВА 152;МОСКВА;
117168;МОСКВА 168;МОСКВА;
117186;МОСКВА 186;МОСКВА;
117198;МОСКВА 198;МОСКВА;
117208;МОСКВА 208;МОСКВА;
117209;МОСКВА 209;МОСКВА;
117216;МОСКВА 216;МОСКВА;
117218;МОСКВА 218;МОСКВА;
117246;МОСКВА 246;МОСКВА;
117279;МОСКВА 279;МОСКВА;
117292;МОСКВА 292;МОСКВА;
117303;МОСКВА 303;МОСКВА;
117312;МОСКВА 312;МОСКВА;
117321;МОСКВА 321;МОСКВА;
117335;МОСКВА 335;МОСКВА;
117342;МОСКВА 342;МОСКВА;
117393;МОСКВА 393;МОСКВА;
117403;МОСКВА 403;МОСКВА;
117405;МОСКВА 405;МОСКВА;
117418;МОСКВА 418;МОСКВА;
117420;МОСКВА 420;МОСКВА;
117437;МОСКВА 437;МОСКВА;
117447;МОСКВА 447;МОСКВА;
117449;МОСКВА 449;МОСКВА;
117452;МОСКВА 452;МОСКВА;
117461;МОСКВА 461;МОСКВА;
117463;МОСКВА 463;МОСКВА;
117465;МОСКВА 465;МОСКВА;
117485;МОСКВА 485;МОСКВА;
117513;МОСКВА 513;МОСКВА;
117519;МОСКВА 519;МОСКВА;
117525;МОСКВА 525;МОСКВА;
117534;МОСКВА 534;МОСКВА;
117535;МОСКВА 535;МОСКВА;
117545;МОСКВА 545;МОСКВА;
117546;МОСКВА 546;МОСКВА;
117556;МОСКВА 556;МОСКВА;
117570;МОСКВА 570;МОСКВА;
117574;МОСКВА 574;МОСКВА;
117587;МОСКВА 587;МОСКВА;
117588;МОСКВА 588;МОСКВА;
117593;МОСКВА 593;МОСКВА;
117623;МОСКВА 623;МОСКВА;
117624;МОСКВА 624;МОСКВА;
117628;МОСКВА 628;МОСКВА;
117630;МОСКВА 630;МОСКВА;
117632;МОСКВА 632;МОСКВА;
117638;МОСКВА 638;МОСКВА;
117639;МОСКВА 639;МОСКВА;
117647;МОСКВА 647;МОСКВА;
117648;МОСКВА 648;МОСКВА;
117676;МОСКВА 676;МОСКВА;
117950;МОСКВА МРП-7;МОСКВА;
117997;МОСКВА ГСП-7;МОСКВА;
117998;МОСКВА ГСП-9;МОСКВА;
119002;МОСКВА 2;МОСКВА;
119017;МОСКВА 17;МОСКВА;
119019;МОСКВА 19;МОСКВА;
119021;МОСКВА 21;МОСКВА;
119027;МОСКВА 27;МОСКВА;
119034;МОСКВА 34;МОСКВА;
119048;МОСКВА 48;МОСКВА;
119049;МОСКВА 49;МОСКВА;
119071;МОСКВА 71;МОСКВА;
119072;МОСКВА 72;МОСКВА;
119119;МОСКВА 119;МОСКВА;
119121;МОСКВА 121;МОСКВА;
119134;МОСКВА 134;МОСКВА;
119136;МОСКВА 136;МОСКВА;
119146;МОСКВА 146;МОСКВА;
119160;МОСКВА 160;МОСКВА;
119180;МОСКВА 180;МОСКВА;
119192;МОСКВА 192;МОСКВА;
119200;МОСКВА 200;МОСКВА;
119234;МОСКВА 234;МОСКВА;
119261;МОСКВА 261;МОСКВА;
119270;МОСКВА 270;МОСКВА;
119285;МОСКВА 285;МОСКВА;
119295;МОСКВА 295;МОСКВА;
119296;МОСКВА 296;МОСКВА;
119297;МОСКВА 297;МОСКВА;
119311;МОСКВА 311;МОСКВА;
119313;МОСКВА 313;МОСКВА;
119330;МОСКВА 330;МОСКВА;
119331;МОСКВА 331;МОСКВА;
119333;МОСКВА 333;МОСКВА;
119334;МОСКВА 334;МОСКВА;
119361;МОСКВА 361;МОСКВА;
119415;МОСКВА 415;МОСКВА;
119421;МОСКВА 421;МОСКВА;
119435;МОСКВА 435;МОСКВА;
119454;МОСКВА 454;МОСКВА;
119501;МОСКВА 501;МОСКВА;
119517;МОСКВА 517;МОСКВА;
119526;МОСКВА 526;МОСКВА;
119530;МОСКВА 530;МОСКВА;
119571;МОСКВА 571;МОСКВА;
119590;МОСКВА 590;МОСКВА;
119601;МОСКВА;МОСКВА;
119602;МОСКВА 602;МОСКВА;
119606;МОСКВА 606;МОСКВА;
119607;МОСКВА 607;МОСКВА;
119618;МОСКВА 618;МОСКВА;
119619;МОСКВА 619;МОСКВА;
119620;МОСКВА 620;МОСКВА;
119633;МОСКВА 633;МОСКВА;
119634;МОСКВА 634;МОСКВА;
119950;МОСКВА МРП-6;МОСКВА;
119991;МОСКВА ГСП-1;МОСКВА;
121059;МОСКВА 59;МОСКВА;
121069;МОСКВА 69;МОСКВА;
121087;МОСКВА 87;МОСКВА;
121096;МОСКВА 96;МОСКВА;
121099;МОСКВА 99;МОСКВА;
121107;МОСКВА 107;МОСКВА;
121108;МОСКВА 108;МОСКВА;
121151;МОСКВА 151;МОСКВА;
121165;МОСКВА 165;МОСКВА;
121170;МОСКВА 170;МОСКВА;
121205;МОСКВА 205;МОСКВА;
121248;МОСКВА 248;МОСКВА;
121260;МОСКВА 260;МОСКВА;
121293;МОСКВА 293;МОСКВА;
121309;МОСКВА 309;МОСКВА;
121351;МОСКВА 351;МОСКВА;
121352;МОСКВА 352;МОСКВА;
121353;МОСКВА 353;МОСКВА;
121354;МОСКВА 354;МОСКВА;
121355;МОСКВА 355;МОСКВА;
121357;МОСКВА 357;МОСКВА;
121359;МОСКВА 359;МОСКВА;
121374;МОСКВА 374;МОСКВА;
121433;МОСКВА 433;МОСКВА;
121467;МОСКВА 467;МОСКВА;
121471;МОСКВА 471;МОСКВА;
121500;МОСКВА 500;МОСКВА;
121552;МОСКВА 552;МОСКВА;
121596;МОСКВА 596;МОСКВА;
121601;МОСКВА 601;МОСКВА;
121609;МОСКВА 609;МОСКВА;
121614;МОСКВА 614;МОСКВА;
121615;МОСКВА 615;МОСКВА;
123001;МОСКВА 1;МОСКВА;
123007;МОСКВА 7;МОСКВА;
123022;МОСКВА 22;МОСКВА;
123056;МОСКВА 56;МОСКВА;
123060;МОСКВА 60;МОСКВА;
123098;МОСКВА 98;МОСКВА;
123100;МОСКВА 100;МОСКВА;
123102;МОСКВА 102;МОСКВА;
123103;МОСКВА 103;МОСКВА;
123104;МОСКВА 104;МОСКВА;
123112;МОСКВА 112;МОСКВА;
123154;МОСКВА 154;МОСКВА;
123181;МОСКВА 181;МОСКВА;
123182;МОСКВА 182;МОСКВА;
123242;МОСКВА 242;МОСКВА;
123290;МОСКВА 290;МОСКВА;
123298;МОСКВА 298;МОСКВА;
123308;МОСКВА 308;МОСКВА;
123317;МОСКВА 317;МОСКВА;
123376;МОСКВА 376;МОСКВА;
123423;МОСКВА 423;МОСКВА;
123436;МОСКВА 436;МОСКВА;
123458;МОСКВА 458;МОСКВА;
123557;МОСКВА 557;МОСКВА;
123592;МОСКВА 592;МОСКВА;
123610;МОСКВА 610;МОСКВА;
125008;МОСКВА 8;МОСКВА;
125009;МОСКВА 9;МОСКВА;
125026;МОСКВА 26;МОСКВА;
125032;МОСКВА 32;МОСКВА;
125039;МОСКВА 39;МОСКВА;
125040;МОСКВА 40;МОСКВА;
125047;МОСКВА 47;МОСКВА;
125057;МОСКВА 57;МОСКВА;
125080;МОСКВА 80;МОСКВА;
125124;МОСКВА 124;МОСКВА;
